mediaid,caption,likes,comments,related_player_id
2024372722616735094,"‪I couldn’t be more humbled to be a part of bringing this film to life. It’s been an incredible journey from first reading the script to release day finally being here. This film is truly inspirational. Grab your 🍿 @breakthroughmovie is in theaters today!!‬",258697,1686,324599988
2021288391509626278,"It’s GO time...going into #LifeMode. Lock in! #DubNation 🏆🏆🏆 --
@Palm #LetsGo #Playoffs #RuinTheGame",385103,2275,324599988
2020528396871038319,"@Infiniti back at it with another 🔥 concept, the QS Inspiration. Thoughts? #QSInspiration #ad @infinitiusa",310569,1502,324599988
2020116994209383929,"Season finale of #5MinutesFromHome talking golf video games, halo and my fortnite skills with pro gamers @tsm_myth & @hamlinz",255107,849,324599988
2019736370139361089,"If there is science behind it, I’m down to try it. @underarmour’s #UARUSH technology has helped me improve my performance all year. It's the little details that help me lock in and focus throughout the season and into the playoffs.  #WEWILL",293353,1075,324599988
2019404139352861470,"My brothers and sisters! Love y’all! #nationalsiblingday",583157,698,324599988
2017888647895163841,"New @Rakuten spot drops today with an appearance by yours truly 👀. When you shop, they pay you 💰. #ad #Rakuten",184868,532,324599988
2017301219681581773,"Crazy #onceuponatime",949662,2919,324599988
2017299077122074155,"Closing out 47 regular seasons in the best way! Oracle was 🔥tonight! Back in the original threads too. From ‘09 to ‘19 #webelieve",1070115,2626,324599988
2015886583350567311,"Part IV. Run TMC era no explanation needed! @tim.hardaway #killacrossover #inyoface (📸 @noahgphotos)",661528,1818,324599988
2013740788203650745,"Part 3 of Operation honor the 🐐’s of Oracle! You know him. My Latvian Brother. Andris Biedrins. #15 #Goose #Beans Happy Bday Too!",508102,1698,324599988
2012151648735426777,"Just got to know you! Rest in Paradise 🙏🏽 @nipseyhussle",1072515,4568,324599988
2009675958945349886,"Dad jokes galore with a couple legends Riley Morrison and @kledecky on the latest episode of #5MinutesFromHome Catch the full episode link in bio",407727,1419,324599988
2007141598148984459,"Operation honor the 🐐’s of Oracle Arena. Day 1! @iambarondavis",1318148,3605,324599988
2006376513042619771,"Welcome to the #30 club my baby @ayeshacurry! Walking into the next phase of blessings in style! Keep smiling, keep growing, and keep inspiring the way you do! #ishiboosdirty30",1121227,3114,324599988
2005297504137388069,"Trust “The Process” and check out @joelembiid on the latest episode of #5MinutesFromHome link in bio",291424,890,324599988
1999382953143334549,"#mood #piday",746774,16031,324599988
1995645020901005809,"Just a reminder that one small gesture can lead to something truly special 🙏🏽! From a handwritten note 📝 to a $30k scholarship for Vivian Wu to pursue higher education in STEM. Riley Morrison changed the game. Happy for @ayeshacurry & I to be a part of this journey...#internationalwomensday",915250,3574,324599988
1995270829282550196,"Celebrating the women in my life today & every day! 🙏🏽 love y’all for who you are & who you’re made to be! #internationalwomensday",1236375,2876,324599988
1994098196641991489,"Proud to support these talented young women at the third stop of the Underrated Tour Powered by Rakuten! Catch the full version of this and more on @RakutenArena #internationalwomensday #IWD",92186,431,324599988
1990211586514896078,"Now that’s how you open up @internationalsmoke #3! Congrats baby! y’all work y’alls butt off to bring the best to anybody who sits down at the spot! Hype for you and the whole team! 🍾",318859,1297,324599988
1983936267847988202,"Unreal experience sharing the stage with #44 @barackobama. Celebrating the 5th anniversary of @mbk_alliance and galvanizing the community to support our boys and young men of color!",429433,1892,324599988
1981834411407327081,"Charlotte- it’s been real! Unbelievable experience being home and celebrating family and basketball! Congrats @easymoneysniper on the MVP! And @klaythompson...gotcha! 6x",1397934,4153,324599988
1981035950789568815,"1992 to 2019. always repping the QC! #buzzcity #dcfor3",1856887,6981,324599988
1980678085826331586,"Supporting the community that supported me! Renovated the Carole Hoefener with @underarmour, @chase and my family, giving kids a safe space to invest in themselves. I see you mama!",858758,1881,324599988
1980397073271777212,"Unbelievable night back at home with @davidsonbasketball. Got the W, fresh uni’s on deck! Some things never change #tcc #greatdaytobeawildcat",721670,1957,324599988
1979168319711013971,"Guess what day it is.....back in the QC for All-Star with my #foreverlove",1174997,3825,324599988
1977919352146999019,"Stephen vs the Game. Coming soon to Facebook Watch 👀",539332,5291,324599988
1976739339158569789,"Respect to the Champ @dwyanewade...16 years of greatness 🙏🏽 #flash #onelastdance",1367332,3238,324599988
1975786803014557411,"Pumped to join @alexmorgan13 as a @pgajrleague ambassador. You get to wear a jersey, play with your friends, and have some fun! Player Registration is open NOW, so go find a golf course near you. #gamechanger Link in story.",209116,564,324599988
1971607161294666092,"New season! Y’all know what to do...",1283893,6401,324599988
1964171683419359745,"Blessed to have spent last night screening our film Emanuel, executive produced by Unanimous Media and in theaters June 17th (the anniversary of the tragic shooting). Huge thank you to my partner @chase for helping bring this event to life. 📷: @guillermophotog",425393,1915,324599988
1962281303878728486,"Sing it with me... 🎶🎶 #dubnation",605588,8997,324599988
1962280978677567295,"That boy @klaythompson gooooood!!! #gimme10",1200321,3815,324599988
1960253432226177697,"Well then... @boogiecousins welcome back 🙏🏽🙏🏽",1168524,2921,324599988
1957899047093659482,"Whole Squad Ready!!! run it back tomorrow #dubnation",679217,2381,324599988
1955083954786079994,"They stole my game ball but they said they’d take good care of it for me! Much respect to @reggiemillertnt @trayfour! #treyball #dubnation",1567515,4140,324599988
1954714098886517077,"My home since ‘09. Got my heart too. “❤️ of the town!”",839692,3872,324599988
1954172708620408512,"s/o to @infiniti & @infinitiusa for letting me check out the QX inspiration ahead of its debut at the 2019 North American International Auto Show #ad #QXInspiration #NAIAS",762541,10921,324599988
1953119644581014234,"No one’s story but mine. Link in story. #Underrated Tour powered by @rakutenus coming soon",661978,2445,324599988
1951199634220499279,"The Moon Landing shoes are officially live for auction! All proceeds are going to STEM education initiatives in the Bay Area through @donorschoose. Check them out at ebay.com/sc4STEM",560161,2540,324599988
1950681452447746907,"The Town showed out last night! Appreciate the love and let's keep the celebration rolling #ruinthegame",901535,1952,324599988
1947695504881514633,"Hype to celebrate my 10th season in The Town with @uabasketball this Friday 1/4 at @foxoakland! I’ll be there + we got special performances all night! Stay tuned...",586268,4234,324599988
1946833084499688936,"2018 it’s been real ✌🏽. Enjoyed it all-Praying for Godly wisdom and guidance in 2019!",1102999,3004,324599988
1945592378238130410,"30 X 30(31)...Important moment to just stop and thank God for these experiences. Was always proud to play against my bro @sdotcurry in the league- but tonight we needed to take a moment and celebrate it with the jersey swap! Love you bro! #backyardtotheNBA",2144765,7127,324599988
1942459868293408955,"Merry CHRISTmas from the Curry Crew! Blessed beyond measure! #calichristmas",422789,1799,324599988
1940121712189523070,"SC30 x Oakland 472 9th St.",408806,1268,324599988
1939776045613178343,"Thank you to everyone that made the 6th Annual Christmas With the Currys a huge success. @ayeshacurry and I love serving the Oakland Community and over 250 families during the Christmas holiday. Special thanks to @kpthrive and @lavamae for showing out and supporting the cause to the fullest! #oakland",546492,1277,324599988
1938889225102927552,"My little young man! Sit down lemme tell ya how it supposed to be...",945163,4708,324599988
