,Name,id,likes,date,posts,retweets
0,HoustonRockets,19077044,956,2019-03-06 03:29:38,"RT for the MVP! 

35 points ✔️
Rockets Win ✔️ https://t.co/pYzGtk748L",597
1,HoustonRockets,19077044,1012,2019-03-06 03:29:11,Runnin' through the 6ix with the WIN! https://t.co/TUobt1uXYD,504
2,HoustonRockets,19077044,446,2019-03-06 03:25:35,30PTS for The MVP! 💪 https://t.co/BTY4C3Ri2h,113
3,HoustonRockets,19077044,386,2019-03-06 03:15:25,STEP🔙 https://t.co/PrPFQQk5NH,108
4,HoustonRockets,19077044,196,2019-03-06 03:11:30,"☔️ #SplashGordon ☔️

🚀 91 | 🦖 80 https://t.co/485F0UdGOU",30
5,HoustonRockets,19077044,179,2019-03-06 03:06:44,"#️⃣3️⃣

💰 https://t.co/rKdrCdeQhz",34
6,HoustonRockets,19077044,163,2019-03-06 03:06:08,#️⃣2️⃣ https://t.co/Gbce2qx5cl,25
7,HoustonRockets,19077044,62,2019-03-06 03:05:43,#️⃣1️⃣ https://t.co/9WFQJCrPme,20
8,HoustonRockets,19077044,440,2019-03-06 03:04:55,Back-to-back-to-back 3️⃣-Pointers for G3RALD GR33N! 💰 https://t.co/qrtAo6UU54,106
9,HoustonRockets,19077044,120,2019-03-06 02:58:44,"1️⃣2️⃣✅4️⃣

#Rockets 69 | Raptors 71

@JHarden13 16PTS
@AustinRivers25 13PTS
@TheofficialEG10 10PTS
@CapelaClint 9P… https://t.co/hd17d2tdPr",29
10,HoustonRockets,19077044,130,2019-03-06 02:51:32,.@JHarden13 ➡️ @NeneHilario42 🏀 https://t.co/532Fk2HNZ9,20
11,HoustonRockets,19077044,60,2019-03-06 02:47:42,"TO in Toronto ⤵️

🚀 62 | 🦖 62
⏰ 3:40 Q3 https://t.co/f87pWywM1s",15
12,HoustonRockets,19077044,152,2019-03-06 02:42:35,".@JHarden13 for ✌️ to start the second-half.

📺 @ATTSportsNetSW &amp; @NBAonTNT https://t.co/2XAcx814VX",20
13,HoustonRockets,19077044,419,2019-03-06 02:12:03,Halftime in Toronto! 🚀 https://t.co/Shh0QmoWvI,99
14,HoustonRockets,19077044,294,2019-03-06 02:10:01,.@JHarden13 ↗️ 🏀 ↗️ @CapelaClint https://t.co/THAvARiIaB,47
15,HoustonRockets,19077044,167,2019-03-06 02:04:39,"💪 @CapelaClint 💪

🚀49 | 🦖 32 https://t.co/R4i23oT0a8",34
16,HoustonRockets,19077044,159,2019-03-06 01:57:55,".@CP3 ➡️ @TheofficialEG10 👌

#SplashGordon leads the 🚀 with 10PTS https://t.co/q70zNLB9VA",32
17,HoustonRockets,19077044,217,2019-03-06 01:53:24,.@AustinRivers25 getting it done on both ends of the court 💪 https://t.co/MFBAiADbhG,47
18,HoustonRockets,19077044,228,2019-03-06 01:50:33,"👋 @Gary11_Clark STEAL
➡️ @CP3 ASSIST
3️⃣ GR33N THREE! https://t.co/cxQ0MfucWB",40
19,HoustonRockets,19077044,262,2019-03-06 01:42:26,"✅2️⃣3️⃣4️⃣

#Rockets 23 | Raptors 19 https://t.co/LPyrrDKPDs",49
20,HoustonRockets,19077044,140,2019-03-06 01:41:19,.@Gary11_Clark 💪💪💪 https://t.co/c2Rv9zVhB7,29
