,Assists,AssistsPercentage,BlockedShots,BlocksPercentage,DefensiveRebounds,DefensiveReboundsPercentage,DoubleDoubles,EffectiveFieldGoalsPercentage,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsFantasyDraft,FantasyPointsYahoo,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowsPercentage,Games,GlobalTeamID,IsClosed,Minutes,Name,OffensiveRebounds,OffensiveReboundsPercentage,PersonalFouls,PlayerEfficiencyRating,PlayerID,PlusMinus,Points,Position,Rebounds,Season,SeasonType,Seconds,Started,StatID,Steals,StealsPercentage,Team,TeamID,ThreePointersAttempted,ThreePointersMade,ThreePointersPercentage,TotalReboundsPercentage,TripleDoubles,TrueShootingAttempts,TrueShootingPercentage,TurnOversPercentage,Turnovers,TwoPointersAttempted,TwoPointersMade,TwoPointersPercentage,Updated,UsageRatePercentage
0,21.4,7.3,14.7,3.0,76.6,21.1,0.0,61.6,348.4,358.1,379.9,358.1,379.9,96.9,53.0,61.6,42.8,30.4,80.1,32,20000022,False,475,Nene Hilario,28.2,7.2,76.6,15.8,20000439,71.0,136.4,C,104.8,2019,1,25,2,576288,16.9,2.0,HOU,22,2.3,0.0,0.0,14.0,0.0,115.8,66.5,8.1,9.0,94.7,53.0,63.1,2019-03-05T18:19:44,12.9
1,119.5,11.6,23.7,1.2,122.8,8.8,0.0,55.7,1312.7,1439.7,1373.6,1439.7,1373.6,815.9,322.3,44.5,149.9,117.2,88.1,50,20000022,False,1839,Eric Gordon,16.9,1.1,126.2,15.1,20000471,144.3,923.0,SG,139.7,2019,1,58,35,576299,37.2,1.1,HOU,22,489.1,161.2,37.1,4.8,0.0,881.9,58.9,9.3,78.9,326.8,161.2,55.6,2019-03-05T18:19:44,25.6
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1,20000022,False,1,Terrence Jones,0.0,0.0,0.0,-34.0,20000542,-9.0,0.0,PF,0.0,2019,1,20,0,663149,0.0,0.0,HOU,22,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,0.0,0.0,2019-03-05T18:19:44,37.8
3,504.9,44.4,50.7,2.0,375.3,19.8,25.9,60.9,3755.8,4167.1,3949.7,4167.1,3949.7,1637.5,720.2,49.6,765.2,670.6,98.7,59,20000022,False,2490,James Harden,62.0,3.0,216.4,38.4,20000544,145.4,2438.8,PG,437.3,2019,1,16,59,576328,143.1,3.2,HOU,22,901.6,328.0,41.0,11.1,6.8,1974.2,69.6,17.1,352.8,735.9,392.2,60.1,2019-03-05T18:19:44,45.8
4,76.6,7.9,93.5,4.9,422.6,30.0,34.9,71.5,2007.0,2133.7,2133.2,2133.7,2133.2,615.3,389.9,71.5,209.6,130.7,70.3,48,20000022,False,1850,Clint Capela,252.4,16.7,142.0,28.4,20000549,55.2,910.6,C,675.1,2019,1,37,48,576329,32.7,1.0,HOU,22,0.0,0.0,0.0,23.1,0.0,707.6,72.5,11.6,81.1,615.3,389.9,71.5,2019-03-05T18:19:44,20.9
5,110.4,13.4,23.7,1.7,131.9,12.8,0.0,54.4,911.3,986.7,991.3,986.7,991.3,420.4,157.8,42.3,46.2,38.3,93.4,48,20000022,False,1349,Iman Shumpert,23.7,2.1,113.8,13.2,20000576,-80.0,444.0,SG,155.5,2019,1,14,40,576338,56.4,2.3,HOU,22,253.6,90.2,40.1,7.3,0.0,440.7,56.8,10.4,45.1,166.8,67.6,45.6,2019-03-05T18:19:44,17.7
6,374.2,44.4,12.4,0.8,173.6,15.4,14.7,57.9,1604.4,1751.9,1708.1,1751.9,1708.1,561.2,238.9,48.0,175.8,148.8,95.3,40,20000022,False,1477,Chris Paul,27.0,2.2,121.7,24.6,20000664,124.0,724.7,PG,200.6,2019,1,30,40,576376,91.3,3.4,HOU,22,275.0,98.0,40.2,8.6,1.1,638.6,64.0,19.0,129.6,286.3,140.9,55.4,2019-03-05T18:19:44,25.5
7,158.9,14.1,23.7,1.2,131.9,9.4,0.0,56.1,1065.4,1155.5,1130.7,1155.5,1130.7,525.2,213.0,45.8,93.5,50.7,61.1,59,20000022,False,1840,Austin Rivers,24.8,1.6,189.3,10.7,20000667,34.9,574.8,PG,156.7,2019,1,57,15,577207,41.7,1.3,HOU,22,304.3,98.0,36.3,5.4,0.0,566.3,57.1,11.8,66.5,220.9,115.0,58.6,2019-03-05T18:19:44,16.9
8,20.3,6.1,21.4,3.2,130.7,27.0,13.5,70.0,672.8,722.7,707.8,722.7,707.8,228.8,137.5,67.7,87.9,55.2,70.8,28,20000022,False,635,Kenneth Faried,89.0,17.1,71.0,27.4,20000821,5.6,338.1,PF,219.8,2019,1,38,13,576426,13.5,1.2,HOU,22,20.3,7.9,43.8,21.9,0.0,267.5,71.2,11.1,29.3,208.5,129.6,70.1,2019-03-05T18:19:44,22.9
9,41.7,5.1,25.9,1.8,144.3,13.4,0.0,61.3,961.9,1068.7,1013.7,1068.7,1013.7,541.0,222.0,46.2,60.9,49.6,91.9,59,20000022,False,1414,Gerald Green,30.4,2.6,126.2,14.6,20000851,196.1,637.9,SG,174.7,2019,1,60,0,576440,25.9,1.0,HOU,22,411.4,144.3,39.6,7.8,0.0,567.7,63.3,9.4,51.8,129.6,77.8,67.6,2019-03-05T18:19:44,21.5
