,Name,id,likes,date,retweets
0,txbluntman,1103138262976212992,0,2019-03-06 03:40:31,1
1,johnadeleon,1103137657838882816,0,2019-03-06 03:38:07,1
2,VTGSportsWave,1103134076016476161,0,2019-03-06 03:23:53,3
3,warriors_james,1103131559958319104,0,2019-03-06 03:13:53,0
4,VTGSportsWave,1103119685460070400,0,2019-03-06 02:26:42,2
5,St3pDaDz2K,1103107922001747968,0,2019-03-06 01:39:58,0
6,St3pDaDz2K,1103105828796682241,0,2019-03-06 01:31:38,0
7,bajanpatrick,1103105263329005568,0,2019-03-06 01:29:24,0
8,St3pDaDz2K,1103104177348268032,0,2019-03-06 01:25:05,0
9,St3pDaDz2K,1103104064764534785,0,2019-03-06 01:24:38,0
10,tK8t4VAt2arjnNB,1103097673769340928,0,2019-03-06 00:59:14,0
11,MayorSackJones,1103085407779074050,0,2019-03-06 00:10:30,0
12,Soles4you_,1103079769065865216,0,2019-03-05 23:48:05,0
13,DiabeticCyborgg,1103052839570554881,0,2019-03-05 22:01:05,0
14,TemmyCR,1103045505305792512,0,2019-03-05 21:31:56,0
15,DURANTISGOAT,1103028978363834368,0,2019-03-05 20:26:16,0
16,gaxiola_jared,1102996506729099270,0,2019-03-05 18:17:14,0
17,theluireport,1102979146031001600,0,2019-03-05 17:08:15,0
18,NbaLegado,1102956396360941568,0,2019-03-05 15:37:51,0
19,ChecklistsforUS,1102950707932680193,0,2019-03-05 15:15:15,0
20,xygeegibsons,1102854795570892801,0,2019-03-05 08:54:07,1
21,VTGSportsWave,1102829626215276544,0,2019-03-05 07:14:07,0
22,costanzo740,1102808629235789825,0,2019-03-05 05:50:41,2
23,SKIPTWEETBOT,1102787458079571970,0,2019-03-05 04:26:33,0
24,howniceapparel,1102764143608823809,0,2019-03-05 02:53:54,0
25,KollegeKidd,1102760762580316160,1,2019-03-05 02:40:28,0
26,jameshdosher,1102741765079982080,0,2019-03-05 01:24:59,2
27,tK8t4VAt2arjnNB,1102739979149574144,5,2019-03-05 01:17:53,2
28,adriancheddie,1102733553312256000,1,2019-03-05 00:52:21,0
29,chrisconeway1,1102732008348962816,0,2019-03-05 00:46:13,3
30,DGdesigns10,1102726200043233280,0,2019-03-05 00:23:08,0
31,1PRIMEAD,1102721471875633152,0,2019-03-05 00:04:21,3
32,UNCAABrand,1102721278828560397,0,2019-03-05 00:03:35,0
33,helmetsoffshow,1102689267531149312,0,2019-03-04 21:56:23,0
34,swagafiedkicks,1102686076546748416,0,2019-03-04 21:43:42,1
35,ChrisEcto1,1102680983340544000,1,2019-03-04 21:23:27,1
36,OddsnNews,1102677177168998406,0,2019-03-04 21:08:20,1
37,RickJames,1102665670033059840,3,2019-03-04 20:22:36,0
38,GeorgiaAchiever,1102659983638974465,0,2019-03-04 20:00:01,3
39,shyamal_chandra,1102656345793351685,0,2019-03-04 19:45:33,0
40,0nly1Ronn,1102652939712319488,8,2019-03-04 19:32:01,3
41,LooselinesRJ,1102647432159133696,0,2019-03-04 19:10:08,1
42,the__jdannie,1102646840556769280,0,2019-03-04 19:07:47,0
43,howniceapparel,1102640728549834753,1,2019-03-04 18:43:30,0
44,MosleyShyniece,1102624125573623809,1,2019-03-04 17:37:31,0
45,St3pDaDz2K,1102619938345242625,2,2019-03-04 17:20:53,0
46,St3pDaDz2K,1102619125354905600,1,2019-03-04 17:17:39,0
47,OddsnNews,1102614618495696898,0,2019-03-04 16:59:45,1
48,JazzSportsBook,1102613549644431363,0,2019-03-04 16:55:30,1
49,PlayerlineNBA,1102599690258956289,0,2019-03-04 16:00:26,0
