,Name,id,likes,date,posts,retweets
0,Lakers,20346956,0,2019-03-06 01:09:59,RT @LakersReporter: The precautionary MRI on Kyle Kuzma’s injury confirmed a minor ankle sprain. Kuzma could miss up to one week.,76
1,Lakers,20346956,0,2019-03-05 23:40:51,"RT @LakersReporter: Lakers injury update with details on Ingram, Kuzma and more: https://t.co/LTAKRfPFxf",111
2,Lakers,20346956,471,2019-03-05 20:48:49,🎥 Luke Walton updates the status of Kuzma and Ingram following Tuesday's practice. https://t.co/enE0Jjo7Ct,69
3,Lakers,20346956,0,2019-03-05 19:58:11,"RT @LakersReporter: Luke Walton said the Lakers had a film session, then only 8 active bodies for on court work. Kyle Kuzma (ankle) got tre…",128
4,Lakers,20346956,486,2019-03-05 07:23:32,🎥 Josh Hart talks about fighting through his injuries and the need to win every possession. https://t.co/BTidi0YIxF,79
5,Lakers,20346956,625,2019-03-05 07:15:36,🎥 Rajon Rondo talks about becoming the second player in NBA history to notch a triple-double with five different te… https://t.co/UWFIg7lpNl,114
6,Lakers,20346956,1241,2019-03-05 07:13:44,🎥 LeBron James talks about taking things one game at a time and fighting through adversity. https://t.co/42Y40pCpCA,224
7,Lakers,20346956,0,2019-03-05 06:49:37,"RT @LakersReporter: X-Rays were negative on Kyle Kuzma’s sprained right ankle. As Luke Walton said, though, it’d be a surprise to see him b…",141
8,Lakers,20346956,444,2019-03-05 06:46:31,"🎥 Although the team’s mindset was in the right place, Luke feels missed opportunities and injuries took their toll. https://t.co/hW06tBA7Kg",80
9,Lakers,20346956,2024,2019-03-05 05:58:40,Final tally from STAPLES. https://t.co/2iOZ4xCwMv,404
10,Lakers,20346956,2293,2019-03-05 05:52:10,"First triple-double of the season for @RajonRondo. 

He becomes the second player in NBA history with a triple-doub… https://t.co/tai6CZpO8S",327
11,Lakers,20346956,1635,2019-03-05 05:37:25,S A U C E https://t.co/BaxzrxIquE,196
12,Lakers,20346956,985,2019-03-05 05:35:52,Rondo giving English lessons with the reverse layup! 📚📚📚,105
13,Lakers,20346956,494,2019-03-05 05:33:37,".@ReggieBullock35 closes out the third quarter!

#LakeShow (📺: @SpectrumSN &amp; NBA TV) https://t.co/LyVSsehzoz",69
14,Lakers,20346956,431,2019-03-05 05:26:33,"Taking this one into the final frame. 

Rondo: 20 pts, 9 ast, 8 reb
James: 20 pts https://t.co/gMx9F71KRs",73
15,Lakers,20346956,568,2019-03-05 05:24:18,🚨 Bullock backpedals into the buzzer-beater! 🚨,71
16,Lakers,20346956,648,2019-03-05 05:22:00,"Josh Hart through contact! 💪

#LakeShow (📺: @SpectrumSN &amp; NBA TV) https://t.co/66oD3C9TpA",82
17,Lakers,20346956,424,2019-03-05 05:18:33,"💛➕1️⃣

#LakeShow back in front after seven unanswered points capped by Hart's and-1.",47
18,Lakers,20346956,664,2019-03-05 05:12:55,"Lefty layup by Rondo

#LakeShow (📺: @SpectrumSN &amp; NBA TV) https://t.co/BmZ0wvC7pc",103
19,Lakers,20346956,492,2019-03-05 04:43:54,"Vets leading the way at the break. 

James: 17 pts
Rondo: 11 pts, 6 reb, 6 ast https://t.co/tXwQBvwHlL",89
20,Lakers,20346956,0,2019-03-05 04:40:05,"RT @LakersReporter: Alex Caruso, who has played a total of 4 minutes since a 12-minute stretch against Golden State on Jan. 21, just checke…",34
21,Lakers,20346956,1411,2019-03-05 04:40:00,Gold Rush #LakeShow https://t.co/RqJcy1FfZd,267
22,Lakers,20346956,0,2019-03-05 04:36:37,RT @LakerGirls: Team huddle! #LakeShow https://t.co/sGhFSY5Igg,47
23,Lakers,20346956,0,2019-03-05 04:36:03,RT @LosLakers: Hoy nos acompaña el @Canelo 🇲🇽🥊 https://t.co/vhkOC11asT,420
24,Lakers,20346956,1626,2019-03-05 04:31:24,"Nice backdoor cut by LeBron for the easy flush

#LakeShow (📺: @SpectrumSN &amp; NBA TV) https://t.co/yuIayPrhlP",243
25,Lakers,20346956,767,2019-03-05 04:27:29,"Not on JaVale's watch!

#LakeShow (📺: @SpectrumSN &amp; NBA TV) https://t.co/6x3r6n4rqu",137
26,Lakers,20346956,3982,2019-03-05 04:25:34,🚀🚀🚀 https://t.co/49zhqhTzyt,494
27,Lakers,20346956,760,2019-03-05 04:16:13,First quarter views https://t.co/ZXJwm62Stj,139
28,Lakers,20346956,665,2019-03-05 04:13:27,Kuz with 11 in the first for the #LakeShow lead. https://t.co/a409edHHIU,138
