,Assists,AssistsPercentage,BlockedShots,BlocksPercentage,DefensiveRebounds,DefensiveReboundsPercentage,DoubleDoubles,EffectiveFieldGoalsPercentage,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsFantasyDraft,FantasyPointsYahoo,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowsPercentage,Games,GlobalTeamID,IsClosed,Minutes,Name,OffensiveRebounds,OffensiveReboundsPercentage,PersonalFouls,PlayerEfficiencyRating,PlayerID,PlusMinus,Points,Position,Rebounds,Season,SeasonType,Seconds,Started,StatID,Steals,StealsPercentage,Team,TeamID,ThreePointersAttempted,ThreePointersMade,ThreePointersPercentage,TotalReboundsPercentage,TripleDoubles,TrueShootingAttempts,TrueShootingPercentage,TurnOversPercentage,Turnovers,TwoPointersAttempted,TwoPointersMade,TwoPointersPercentage,Updated,UsageRatePercentage
0,21.4,7.3,14.7,3.0,76.6,21.1,0.0,61.6,348.4,358.1,379.9,358.1,379.9,96.9,53.0,61.6,42.8,30.4,80.1,32,20000022,False,475,Nene Hilario,28.2,7.2,76.6,15.8,20000439,71.0,136.4,C,104.8,2019,1,25,2,576288,16.9,2.0,HOU,22,2.3,0.0,0.0,14.0,0.0,115.8,66.5,8.1,9.0,94.7,53.0,63.1,2019-03-05T18:19:44,12.9
1,73.3,13.7,27.0,2.8,218.6,29.9,1.1,60.0,736.7,781.3,770.5,781.3,770.5,209.6,111.6,60.0,54.1,39.4,82.2,47,20000028,False,845,Marcin Gortat,75.5,11.0,103.7,16.8,20000440,-110.4,262.6,C,294.1,2019,1,34,43,576289,6.8,0.4,LAC,28,0.0,0.0,0.0,20.8,0.0,233.4,63.5,21.9,56.4,209.6,111.6,60.0,2019-03-05T18:19:44,16.4
2,385.4,26.6,55.2,2.0,281.8,13.4,11.3,61.0,2953.4,3184.6,3111.2,3184.6,3111.2,1403.1,669.4,53.8,370.8,306.5,93.2,63,20000001,False,2655,Bradley Beal,82.3,3.7,210.7,27.6,20000441,-117.2,1826.9,SG,364.0,2019,1,31,63,577191,102.6,2.1,WAS,1,518.4,181.4,39.4,8.5,2.3,1566.3,65.7,13.0,204.0,884.7,488.0,62.2,2019-03-05T18:19:44,32.0
3,314.4,44.1,32.7,2.5,113.8,11.5,11.3,55.1,1415.2,1535.5,1503.1,1535.5,1503.1,622.1,276.1,50.0,197.2,137.5,78.6,32,20000001,False,1243,John Wall,16.9,1.6,80.0,24.6,20000442,-171.3,747.2,PG,130.7,2019,1,57,32,577192,55.2,2.4,WAS,1,190.5,57.5,34.0,6.5,0.0,708.9,59.4,18.2,136.4,431.6,218.6,57.1,2019-03-05T18:19:44,32.6
4,116.1,12.4,31.6,1.9,255.8,19.0,6.8,62.0,1474.2,1581.7,1586.9,1581.7,1586.9,626.6,294.1,52.9,93.5,73.3,88.2,49,20000011,False,1655,Otto Porter,57.5,4.3,112.7,20.9,20000443,12.4,761.9,SF,313.3,2019,1,11,36,577193,81.1,2.7,CHI,11,250.2,100.3,45.2,11.7,0.0,667.8,64.2,9.7,63.1,376.4,193.8,58.0,2019-03-05T18:19:44,22.0
5,91.3,7.2,32.7,1.5,172.4,10.3,0.0,58.5,1058.4,1143.6,1153.0,1143.6,1153.0,473.3,201.7,48.0,95.8,72.1,84.9,59,20000028,False,1928,Garrett Temple,22.5,1.4,184.8,10.9,20000452,-125.1,562.4,SG,195.0,2019,1,39,51,576290,62.0,1.7,LAC,28,257.0,86.8,38.1,6.0,0.0,515.5,61.4,12.5,64.2,216.4,115.0,59.8,2019-03-05T18:19:44,14.4
6,113.8,10.7,25.9,1.3,225.4,14.4,0.0,58.8,1642.2,1782.1,1728.9,1782.1,1728.9,928.6,394.4,47.9,118.3,103.7,98.7,65,20000005,False,1924,Terrence Ross,25.9,1.6,113.8,19.5,20000453,-134.1,1071.8,SG,251.3,2019,1,37,0,576291,60.9,1.7,ORL,5,483.5,179.2,41.8,7.9,0.0,980.7,61.6,8.0,75.5,445.2,215.3,54.5,2019-03-05T18:19:44,27.2
7,51.8,13.8,36.1,4.6,245.7,37.7,11.3,66.6,1086.9,1157.7,1139.8,1157.7,1139.8,396.7,228.8,65.0,135.2,108.2,90.2,37,20000021,False,844,Jonas Valanciunas,77.8,11.5,116.1,31.5,20000455,95.8,578.2,C,323.4,2019,1,59,15,576292,16.9,1.1,MEM,21,42.8,12.4,32.6,24.3,0.0,456.2,71.3,13.7,63.1,353.9,216.4,68.9,2019-03-05T18:19:44,31.5
8,413.6,30.9,32.7,1.3,370.8,19.1,11.3,53.5,2611.6,2744.2,2715.3,2744.2,2715.3,1196.9,564.6,53.2,389.9,318.9,92.2,60,20000024,False,2382,DeMar DeRozan,50.7,2.6,154.4,24.7,20000456,-41.7,1456.1,SG,421.5,2019,1,10,60,576293,71.0,1.6,SA,24,46.2,7.9,19.3,10.9,1.1,1368.4,60.0,13.0,178.1,1150.7,556.7,54.5,2019-03-05T18:19:44,32.2
9,533.1,40.6,31.6,1.4,229.9,13.6,19.2,58.5,2053.3,2250.3,2168.2,2250.3,2168.2,681.8,284.0,47.0,191.6,160.0,94.1,52,20000010,False,2033,Kyle Lowry,37.2,2.3,157.8,22.4,20000457,450.8,868.9,PG,267.1,2019,1,0,52,576294,83.4,2.2,TOR,10,410.2,140.9,38.7,8.0,1.1,766.1,63.9,20.0,165.7,271.6,143.1,59.4,2019-03-05T18:19:44,22.2
10,50.7,19.5,9.0,1.9,81.1,22.7,0.0,64.1,381.0,411.4,403.6,411.4,403.6,122.8,65.4,60.0,33.8,25.9,86.4,39,20000007,False,418,Amir Johnson,29.3,8.7,89.0,17.4,20000458,-98.0,166.8,PF,110.4,2019,1,54,2,575661,13.5,1.7,PHI,7,28.2,10.1,40.6,15.9,0.0,137.7,68.4,25.1,39.4,94.7,55.2,65.7,2019-03-05T18:19:44,20.1
11,364.0,38.0,9.0,0.4,163.4,10.6,7.9,52.4,2071.5,2222.2,2127.9,2222.2,2127.9,1022.2,429.4,47.3,438.4,389.9,100.2,60,20000028,False,1786,Lou Williams,31.6,2.2,72.1,28.3,20000459,253.6,1341.1,SG,195.0,2019,1,13,0,576295,47.3,1.4,LAC,28,263.7,92.4,39.4,6.5,1.1,1215.1,62.2,13.3,162.3,758.5,337.0,50.0,2019-03-05T18:19:44,36.9
12,34.9,5.2,14.7,1.4,116.1,14.5,0.0,54.5,546.9,592.8,579.6,592.8,579.6,244.6,92.4,42.6,33.8,21.4,71.3,58,20000018,False,950,Patrick Patterson,46.2,5.6,48.5,11.3,20000460,-103.7,258.1,PF,162.3,2019,1,64,5,575662,18.0,1.0,OKC,18,153.3,51.8,38.1,9.9,0.0,259.4,56.1,9.4,23.7,91.3,40.6,50.0,2019-03-05T18:19:44,13.7
13,107.1,18.5,21.4,2.2,128.5,16.1,0.0,55.8,739.9,799.0,791.7,799.0,791.7,325.7,139.7,48.3,53.0,38.3,81.5,41,20000004,False,962,James Johnson,18.0,2.3,93.5,14.4,20000464,-101.4,360.6,PF,146.5,2019,1,6,33,576296,30.4,1.7,MIA,4,121.7,42.8,39.7,9.2,0.0,349.0,58.3,16.7,60.9,204.0,96.9,53.5,2019-03-05T18:19:44,20.6
14,22.5,9.1,20.3,5.2,51.8,16.1,0.0,55.2,284.7,307.4,312.9,307.4,312.9,108.2,42.8,44.6,22.5,21.4,107.1,17,20000021,False,415,Bruno Caboclo,19.2,5.7,54.1,12.9,20000466,33.8,127.4,SF,71.0,2019,1,54,5,649809,7.9,1.1,MEM,21,65.4,20.3,34.9,10.8,0.0,118.1,60.6,14.9,18.0,42.8,22.5,59.3,2019-03-05T18:19:44,16.7
15,228.8,21.3,139.7,6.7,521.8,31.0,38.3,60.4,3058.1,3230.0,3289.1,3230.0,3289.1,1072.9,551.1,57.9,470.0,374.2,89.7,50,20000023,False,1940,Anthony Davis,176.9,11.0,139.7,40.4,20000468,183.7,1524.8,PF,698.7,2019,1,30,50,576297,91.3,2.5,NO,23,148.8,48.5,36.7,21.2,0.0,1279.7,67.2,8.9,110.4,924.1,502.6,61.3,2019-03-05T18:19:44,33.4
16,25.9,11.1,1.1,0.3,39.4,14.4,0.0,61.6,207.5,218.9,218.8,218.9,218.8,59.7,29.3,55.3,42.8,33.8,88.9,47,20000024,False,335,Quincy Pondexter,9.0,3.3,24.8,15.0,20000469,4.5,99.2,SG,48.5,2019,1,19,0,576298,10.1,1.7,SA,24,20.3,6.8,37.5,8.9,0.0,78.6,71.3,14.1,11.3,39.4,22.5,64.4,2019-03-05T18:19:44,13.3
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20000011,False,0,Omer Asik,0.0,0.0,0.0,0.0,20000470,0.0,0.0,C,0.0,2019,1,0,0,577194,0.0,0.0,CHI,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-05T18:19:44,0.0
18,119.5,11.6,23.7,1.2,122.8,8.8,0.0,55.7,1312.7,1439.7,1373.6,1439.7,1373.6,815.9,322.3,44.5,149.9,117.2,88.1,50,20000022,False,1839,Eric Gordon,16.9,1.1,126.2,15.1,20000471,144.3,923.0,SG,139.7,2019,1,58,35,576299,37.2,1.1,HOU,22,489.1,161.2,37.1,4.8,0.0,881.9,58.9,9.3,78.9,326.8,161.2,55.6,2019-03-05T18:19:44,25.6
19,146.5,19.3,16.9,1.4,138.6,13.7,1.1,50.5,1088.7,1188.4,1164.2,1188.4,1164.2,581.5,224.3,43.5,133.0,101.4,86.0,55,20000013,False,1240,Tyreke Evans,30.4,3.2,102.6,16.1,20000472,131.9,622.1,SG,169.0,2019,1,55,15,576300,58.6,2.6,IND,13,202.9,72.1,40.1,8.6,0.0,640.0,54.8,16.1,107.1,378.7,152.1,45.3,2019-03-05T18:19:44,29.8
20,580.4,36.0,60.9,2.1,288.5,12.5,20.3,59.1,3029.0,3261.8,3210.5,3261.8,3210.5,1287.0,607.5,53.2,305.4,234.4,86.6,66,20000023,False,2669,Jrue Holiday,84.5,3.8,164.5,26.6,20000474,266.0,1582.3,PG,373.0,2019,1,40,66,576301,120.6,2.4,NO,23,404.6,133.0,37.1,8.2,0.0,1421.4,62.8,15.9,234.4,882.4,474.5,60.6,2019-03-05T18:19:44,28.9
21,20.3,9.2,1.1,0.3,36.1,13.1,0.0,45.1,160.7,175.8,165.2,175.8,165.2,73.3,23.7,36.4,18.0,13.5,84.5,19,20000004,False,330,Ryan Anderson,18.0,6.6,27.0,7.0,20000475,-83.4,71.0,PF,54.1,2019,1,64,8,576302,3.4,0.6,MIA,4,41.7,10.1,27.4,9.9,0.0,81.2,49.4,17.2,14.7,31.6,13.5,48.3,2019-03-05T18:19:44,14.0
22,54.1,7.9,14.7,1.4,154.4,19.3,0.0,67.3,604.7,643.8,646.4,643.8,646.4,167.9,83.4,56.0,20.3,15.8,87.7,57,20000024,False,980,Dante Cunningham,51.8,6.5,76.6,13.6,20000476,-186.0,216.4,SF,206.2,2019,1,49,21,576303,27.0,1.5,SA,24,69.9,33.8,54.5,13.0,0.0,176.8,68.9,13.3,23.7,98.0,49.6,57.0,2019-03-05T18:19:44,10.1
23,387.7,31.5,54.1,3.0,349.4,24.1,7.9,54.7,1578.7,1696.1,1713.9,1696.1,1713.9,341.5,148.8,49.1,75.5,54.1,80.7,48,20000026,False,1685,Draymond Green,49.6,3.7,174.7,17.2,20000482,315.6,385.4,PF,399.0,2019,1,24,48,575663,81.1,2.6,GS,26,131.9,33.8,28.9,14.3,0.0,374.7,57.9,30.2,137.5,209.6,115.0,61.8,2019-03-05T18:19:44,14.6
