,Name,id,likes,date,posts,retweets
0,NBA,19923144,0,2019-03-06 03:47:44,RT @NBAKicks: 🏀 @KyrieIrving’s Nike Kyrie 5 tonight in Oakland! #NBAKicks https://t.co/UXHIGTDnQh,7
1,NBA,19923144,47,2019-03-06 03:46:48,"The @celtics open the action on an 11-0 sprint! #CUsRise 

📺: @NBAonTNT",10
2,NBA,19923144,493,2019-03-06 03:41:26,"Steph way up high pregame!

#DubNation x #CUsRise 

Underway on @NBAonTNT https://t.co/vkiSLESNjl",105
3,NBA,19923144,177,2019-03-06 03:38:37,"Karl-Anthony Towns' 41 PTS, 14 REB propel the @Timberwolves past OKC at home! 

#AllEyesNorth 131
#ThunderUp 120

D… https://t.co/ayVZrqWgUj",29
4,NBA,19923144,881,2019-03-06 03:33:23,"KAT reaches back for 41 PTS and the ‼️

@Timberwolves | #AllEyesNorth https://t.co/z4xExgYxfm",186
5,NBA,19923144,442,2019-03-06 03:29:54,"James Harden puts up 19 4th quarter PTS (35 total) to guide the @HoustonRockets to their 6th straight W!

#Rockets… https://t.co/vJA5gOQG7x",120
6,NBA,19923144,433,2019-03-06 03:20:51,"James Harden buries the long range step-back!

#Rockets 96
#WeTheNorth 87

📺: @NBAonTNT https://t.co/9m8ZmwKmLU",88
7,NBA,19923144,287,2019-03-06 03:15:25,"Kevin Durant warms up for the @warriors in Oakland!

🏀: #CUsRise x #DubNation
⏰: 10:30pm/et
📺: @NBAonTNT https://t.co/67UR3bNfHd",51
8,NBA,19923144,0,2019-03-06 03:13:02,RT @NBAKicks: Kevin Durant in the Nike Air Max 1 x Laika Missing Link ahead of tonight’s action! #NBAKicks https://t.co/ypnkAWR6lZ,43
9,NBA,19923144,776,2019-03-06 03:12:57,"The Beard from distance as the shot clock winds down!

#Rockets 94
#WeTheNorth 80

Midway through the 4th on… https://t.co/PANciZwXV2",132
10,NBA,19923144,148,2019-03-06 03:08:06,"Gerald Green (16 PTS) knocks down 3 quick triples to start the 4th!

#Rockets 83
#WeTheNorth 75

📺: @NBAonTNT",21
11,NBA,19923144,412,2019-03-06 03:02:11,Pascal Siakam drops 15 3rd Q PTS as the @Raptors outscore HOU 34-14 in the frame! #WeTheNorth @NBAonTNT https://t.co/eb1EbAY5lO,80
