,Name,id,likes,date,retweets
0,Bueno_No_Bueno,1103140133069561858,0,2019-03-06 03:47:57,158
1,JustinSobieski,1103140089390157824,0,2019-03-06 03:47:47,950
2,_BigDreams10,1103138813545775107,0,2019-03-06 03:42:43,950
3,Eddiecondee,1103137620543066112,0,2019-03-06 03:37:58,950
4,YamBSweet,1103137517380009984,0,2019-03-06 03:37:34,950
5,ommiobryce,1103136313748840449,0,2019-03-06 03:32:47,22
6,Fiandach,1103136025768050688,0,2019-03-06 03:31:38,950
7,SportsNewsToda4,1103134119867768832,0,2019-03-06 03:24:04,0
8,SPOOKdBOXER,1103134072250032134,0,2019-03-06 03:23:52,314
9,mas_jarrett,1103134016688062465,0,2019-03-06 03:23:39,950
10,blissfulclaudia,1103133835204542464,0,2019-03-06 03:22:56,950
11,ChoneZiggins,1103133342709547011,0,2019-03-06 03:20:58,950
12,MacksTheGreat_,1103132242451169281,0,2019-03-06 03:16:36,103
13,JohnUng3,1103132099421327362,0,2019-03-06 03:16:02,114
14,ZNTV2450,1103131436322902016,0,2019-03-06 03:13:24,19
15,Tae_Smoove_,1103130596161847298,0,2019-03-06 03:10:03,950
16,anthony79657560,1103130423100624896,0,2019-03-06 03:09:22,950
17,NwpgTejay,1103129805682298880,0,2019-03-06 03:06:55,950
18,BitsTgk,1103129687537082369,1,2019-03-06 03:06:27,0
19,DCowboysFan20,1103129124015665155,0,2019-03-06 03:04:12,950
20,AvilaClenis,1103127560190377989,0,2019-03-06 02:58:00,950
21,elPregonero92,1103127355294277635,0,2019-03-06 02:57:11,1
22,OSDANRIDUQ,1103126745375494145,4,2019-03-06 02:54:45,1
23,DJBROKEBOY,1103126141248843776,0,2019-03-06 02:52:21,158
24,BosseGotBids,1103125807835373569,0,2019-03-06 02:51:02,48
25,blogdiva,1103124822224261121,1,2019-03-06 02:47:07,0
26,Iorin_Laker0824,1103124032923136000,0,2019-03-06 02:43:59,55
27,JackCarroll44,1103123951889321984,0,2019-03-06 02:43:39,314
28,real_MrIves,1103123149212672000,0,2019-03-06 02:40:28,0
29,mattbetz_irl,1103123139435945984,0,2019-03-06 02:40:26,950
30,TodosLibertad,1103121803734630401,1,2019-03-06 02:35:07,0
31,OGRazzleRalph,1103121389140217856,0,2019-03-06 02:33:28,22
32,BillionaireCoby,1103121027075325952,0,2019-03-06 02:32:02,950
33,turt1eg0d69,1103120295127322624,0,2019-03-06 02:29:07,0
34,LILILOOPSY18,1103119682733780992,0,2019-03-06 02:26:41,1
35,cologneloring,1103118894674395136,0,2019-03-06 02:23:34,950
36,AlbertAixut,1103118801825079297,0,2019-03-06 02:23:11,1
37,kurtludden19,1103118685764571138,0,2019-03-06 02:22:44,114
38,WOCWriters1,1103117936145977344,0,2019-03-06 02:19:45,950
39,fajrfirst,1103117800955097088,0,2019-03-06 02:19:13,950
40,MisterIgnorant,1103117613436190720,0,2019-03-06 02:18:28,22
41,miseducated__,1103117496012296192,0,2019-03-06 02:18:00,22
42,BrownKaepernick,1103116187536220162,0,2019-03-06 02:12:48,1
43,urfiakaseworker,1103116157253570560,0,2019-03-06 02:12:41,950
44,SethWyatt24,1103115905628848129,0,2019-03-06 02:11:41,158
45,LA__LakeShow,1103115735612612609,4,2019-03-06 02:11:00,1
46,i_vanessa02,1103114802543685632,0,2019-03-06 02:07:18,950
47,sofiapontep1,1103114603066781697,0,2019-03-06 02:06:30,14
48,foundbaae,1103114359100895232,0,2019-03-06 02:05:32,950
49,nineapart,1103112579940081670,0,2019-03-06 01:58:28,950
