,Name,id,likes,date,posts,retweets
0,warriors,26270913,259,2019-03-06 03:43:20,GO TIME https://t.co/ZREB9VExhY,72
1,warriors,26270913,299,2019-03-06 03:40:50,Game. On. #DubNation,107
2,warriors,26270913,1315,2019-03-06 03:28:10,"COUNT IT 
💰 💰 💰 https://t.co/B82vNXPAwS",331
3,warriors,26270913,442,2019-03-06 03:21:50,Tonight's starting 5️⃣ https://t.co/2dnGxuIr6D,99
4,warriors,26270913,1534,2019-03-06 03:16:42,feelin’ it https://t.co/knWKN75ayY,378
5,warriors,26270913,604,2019-03-06 03:15:24,locked in 🔒 https://t.co/SqbvTWk2Al,91
6,warriors,26270913,536,2019-03-06 02:30:00,"🏀 GSW vs. BOS
🕓 7:30 PM
📺 @NBAonTNT 
📻 @957thegame 
📱 https://t.co/ZkjPJj14fy  
🗒️ https://t.co/gsYGpJztm4 https://t.co/oGiqRYVkt5",90
7,warriors,26270913,1749,2019-03-06 02:11:21,💧 https://t.co/MeWUqj9Xj5,203
8,warriors,26270913,0,2019-03-05 21:59:02,"RT @NBA: ‼️ 28.4 PPG 5.3 RPG 5.2 APG ‼️

Watch the BEST play from @StephenCurry30 in every game this season ahead of @warriors hosting BOS…",358
9,warriors,26270913,1948,2019-03-05 21:12:00,"The last time #DubNation took on #CUsRise, Steph knocked down FOUR 3-pointers in less than two minutes 💦

Rematch t… https://t.co/2ZPso4wob2",342
10,warriors,26270913,2665,2019-03-05 19:21:20,MOOD #DubNation https://t.co/jau1wPRCZb,425
11,warriors,26270913,2215,2019-03-05 19:16:02,Game day work 💦 https://t.co/Nf8DPN8KVj,262
12,warriors,26270913,479,2019-03-05 18:41:24,"Everything you need to know before tonight's matchup ⬇️

https://t.co/gsYGpJhRXu",68
13,warriors,26270913,1987,2019-03-05 17:44:00,"#DubNation, please join us in wishing Assistant Coach Mike Brown a Happy Birthday 🎉 https://t.co/fMdwaVvmjU",186
14,warriors,26270913,1202,2019-03-05 16:43:00,"Back on #WarriorsGround 💪

Dubs vs. Celtics, presented by @Chase https://t.co/x8OUsdSuuB",201
15,warriors,26270913,1296,2019-03-05 00:45:00,"Top of the league in scoring 💥 

By the Numbers, presented by @zoom_us, takes a look into the Dubs scoring stats 🔢 https://t.co/mW5p5uf2hU",189
16,warriors,26270913,472,2019-03-04 23:33:01,".@_Alvo_ goes one-on-one with a Dubs fan for a game of HOME in the @realtordotcom Home Court Challenge.

Watch to s… https://t.co/l6Ai7RTlVy",64
17,warriors,26270913,3947,2019-03-04 21:30:12,Back to W O R K 💪 https://t.co/gxCo0wYady,384
18,warriors,26270913,765,2019-03-04 20:01:00,"Defense 👉offense for the Dubs

Defensive Plays of the Week, presented by @CyberPolicy_com https://t.co/OjgH4QkBUu",107
19,warriors,26270913,585,2019-03-04 17:42:05,The Dubs and @DoorDash hooked up some lucky fans with food and swag from guest dasher @1jordanbell 🤗 https://t.co/WpIfiwXh6O,74
20,warriors,26270913,4389,2019-03-04 17:33:25,"#DubNation, join us in wishing @Money23Green a Happy Birthday! https://t.co/gT98guxzn7",621
21,warriors,26270913,3105,2019-03-03 21:23:00,#SPLASH 💦 HIGHLIGHTS https://t.co/VAG4azFVou,479
22,warriors,26270913,1311,2019-03-03 18:48:02,"scenes from the dub

📸https://t.co/GyvrjDmiNS https://t.co/YeaiRuSgxJ",154
23,warriors,26270913,1014,2019-03-03 17:28:00,"Ended up on top 💪

#JBLxGSW with the top moments from the win ✔️ https://t.co/5AFG1ZD2jl",125
24,warriors,26270913,765,2019-03-03 06:01:01,"A close win in Philly wrapped up the Dubs' latest East Coast swing.

Full game recap ⬇️
https://t.co/zBuH9mTd5x",88
25,warriors,26270913,1885,2019-03-03 05:33:00,"What a dish by Dray. 👀

It's the Assist of the Night, presented by State Farm https://t.co/z0DH7XoGfL",193
26,warriors,26270913,1174,2019-03-03 05:10:25,"Primetime win 🔥

Relive the excitement in tonight's Game Rewind, presented by @Verizon. https://t.co/uY0G0RzvLK",148
27,warriors,26270913,5863,2019-03-03 04:37:06,👏👏👏 https://t.co/vyu5lH2D50,761
28,warriors,26270913,3566,2019-03-03 04:19:20,"Final 📊

KD: 34p/5r/5a
Steph: 28p/4s/4r/2a
DeMarcus: 25p/8r/2s
Damion: 12p/2s/2r
Draymond: 10a/9r/6p/3s
Andre: 6p/4… https://t.co/Vz5LR2R0jG",602
29,warriors,26270913,9291,2019-03-03 04:10:46,"grabbed the dub, let's go home. https://t.co/5v572cFNM4",1745
30,warriors,26270913,1221,2019-03-03 03:58:08,"UP
UP
UP https://t.co/nos86Soct4",157
31,warriors,26270913,3457,2019-03-03 03:55:10,beautiful. https://t.co/fN1q1COZHN,521
